Precio,Marca,Modelo,Potencia,Version,Puertas,Combustible,Plazas,Co2,Color,Año,Km,Cambio,
11.990,RENAULT,Clio,120 cv,Clio GT Energy TCe 120 EDC Euro 6,5 p,Gasolina,5,120 gr/km ,Azul  metalizado,2016,18000,Automático,
6.490,FIAT,Qubo,80 cv,Dynamic 1.3 Multijet 80 E6,5 p,Diesel,5,118 gr/km ,Azul  metalizado,2015,59000,Manual,
8.490,VOLKSWAGEN,Polo,90 cv,Advance 1.2 TSI 66kW90CV BMT,5 p,Gasolina,5,109 gr/km ,Negro  metalizado,2016,69000,Manual,
6.990,PEUGEOT,208,82 cv,5P ACCESS 1.2L PureTech 82,5 p,Gasolina,5,104 gr/km ,Granate  metalizado,2016,49000,Manual,
20.990,BMW,Serie 1,136 cv,118i,5 p,Gasolina,5,116 gr/km ,Blanco  metalizado,2017,19000,Automático,
15.990,VOLKSWAGEN,Passat,150 cv,Sport 2.0 TDI 110kW 150CV,4 p,Diesel,5,110 gr/km ,Azul  metalizado,2018,14000,Manual,
6.990,PEUGEOT,208,82 cv,5P ACCESS 1.2L PureTech 82,5 p,Gasolina,5,104 gr/km ,Blanco  metalizado,2016,49000,Manual,
7.890,OPEL,Corsa,90 cv,1.4 Color Edition 90 CV,5 p,Gasolina,5,120 gr/km ,Gris / Plata  metalizado,2015,64000,Manual,
9.990,RENAULT,Trafic,150 cv,Furgon 29 Largo Normal 2.5dCi 150,4 p,Diesel,3,229 gr/km ,Azul  metalizado,2008,159000,Manual,
12.990,VOLKSWAGEN,Caddy,102 cv,Beach 2.0 TDI SCR BMT 102CV,5 p,Diesel,5,119 gr/km ,Gris / Plata  metalizado,2016,44000,Manual,
12.490,BMW,X1,143 cv,xDrive18d,5 p,Diesel,5,150 gr/km ,Marrón  metalizado,2011,139000,Manual,
6.990,PEUGEOT,208,68 cv,5P ACCESS 1.2L PureTech 50KW 68CV,5 p,Gasolina,5,108 gr/km ,Gris / Plata  metalizado,2016,49000,Manual,
14.490,MITSUBISHI,ASX,116 cv,180 DID Kaiteki,5 p,Diesel,5,119 gr/km ,Blanco  metalizado,2015,59000,Manual,
7.490,FIAT,500C,69 cv,1.2 8v 69 CV Lounge,2 p,Gasolina,4,115 gr/km ,Blanco  metalizado,2016,49000,Manual,
26.990,MERCEDES-BENZ,Clase E,204 cv,Cabrio E 250 Blue Efficiency Elegance,2 p,Gasolina,4,157 gr/km ,Blanco  metalizado,2013,99000,Automático,
45.990,BMW,X4,190 cv,xDrive20d,5 p,Diesel,5,142 gr/km ,Blanco  metalizado,2017,11000,Automático,
5.490,FIAT,Punto,77 cv,1.4 8v Pop 77 CV Gasolina SS EU6,5 p,Gasolina,5,132 gr/km ,Blanco  metalizado,2014,48000,Manual,
34.990,MERCEDES-BENZ,Clase M,258 cv,ML 350 BlueTEC 4MATIC,5 p,Diesel,5,187 gr/km ,Gris / Plata  metalizado,2015,64000,Automático,
6.990,CITROEN,C3,82 cv,Puretech 82cv Feel Edition,5 p,Gasolina,5,107 gr/km ,Azul  metalizado,2016,33000,Manual,
9.990,RENAULT,Clio,75 cv,Sport Tou. Limited 1.2 16v 55kW 75CV,5 p,Gasolina,5,127 gr/km ,Granate  metalizado,2017,14000,Manual,
